has_card,jail_turns,cash,rival_houses,pay_bail_legal,card_legal,n_legal,choice,leaves_jail,seed
True,0,50,4,True,True,25,END_TURN,False,20250811
True,0,50,5,True,True,25,END_TURN,False,20250811
True,0,100,0,True,True,31,END_TURN,False,20250811
True,0,100,2,True,True,25,END_TURN,False,20250811
True,0,100,4,True,True,25,END_TURN,False,20250811
True,0,100,5,True,True,25,END_TURN,False,20250811
True,0,200,0,True,True,31,END_TURN,False,20250811
True,0,200,2,True,True,25,END_TURN,False,20250811
True,0,200,4,True,True,25,END_TURN,False,20250811
True,0,200,5,True,True,25,END_TURN,False,20250811
True,0,260,0,True,True,34,END_TURN,False,20250811
True,0,260,2,True,True,25,END_TURN,False,20250811
True,0,260,4,True,True,25,END_TURN,False,20250811
True,0,260,5,True,True,25,END_TURN,False,20250811
True,0,400,0,True,True,40,END_TURN,False,20250811
True,0,400,2,True,True,25,END_TURN,False,20250811
True,0,400,4,True,True,25,END_TURN,False,20250811
True,0,400,5,True,True,25,END_TURN,False,20250811
True,0,800,0,True,True,40,END_TURN,False,20250811
True,0,800,2,True,True,25,END_TURN,False,20250811
True,0,800,4,True,True,25,END_TURN,False,20250811
True,0,800,5,True,True,25,END_TURN,False,20250811
True,0,1500,0,True,True,40,END_TURN,False,20250811
True,0,1500,2,True,True,25,END_TURN,False,20250811
True,0,1500,4,True,True,25,END_TURN,False,20250811
True,0,1500,5,True,True,25,END_TURN,False,20250811
True,1,50,0,True,True,31,END_TURN,False,20250811
True,1,50,2,True,True,25,END_TURN,False,20250811
True,1,50,4,True,True,25,END_TURN,False,20250811
True,1,50,5,True,True,25,END_TURN,False,20250811
True,1,100,0,True,True,31,END_TURN,False,20250811
True,1,100,2,True,True,25,END_TURN,False,20250811
True,1,100,4,True,True,25,END_TURN,False,20250811
True,1,100,5,True,True,25,END_TURN,False,20250811
True,1,200,0,True,True,31,END_TURN,False,20250811
True,1,200,2,True,True,25,END_TURN,False,20250811
True,1,200,4,True,True,25,END_TURN,False,20250811
True,1,200,5,True,True,25,END_TURN,False,20250811
True,1,260,0,True,True,34,END_TURN,False,20250811
True,1,260,2,True,True,25,END_TURN,False,20250811
True,1,260,4,True,True,25,END_TURN,False,20250811
True,1,260,5,True,True,25,END_TURN,False,20250811
True,1,400,0,True,True,40,END_TURN,False,20250811
True,1,400,2,True,True,25,END_TURN,False,20250811
True,1,400,4,True,True,25,END_TURN,False,20250811
True,1,400,5,True,True,25,END_TURN,False,20250811
True,1,800,0,True,True,40,END_TURN,False,20250811
True,1,800,2,True,True,25,END_TURN,False,20250811
True,1,800,4,True,True,25,END_TURN,False,20250811
True,1,800,5,True,True,25,END_TURN,False,20250811
